SoortMisdrijf,RegioS,Perioden,Unnamed: 0,ID,TotaalGeregistreerdeMisdrijven_1,GeregistreerdeMisdrijvenRelatief_2,GeregistreerdeMisdrijvenPer1000Inw_3,TotaalOpgehelderdeMisdrijven_4,OpgehelderdeMisdrijvenRelatief_5,RegistratiesVanVerdachten_6
Bedrog,Noord-Brabant (PV),2018,140920,140920,11360.0,10.0,4.4,410.0,38.6,505.0
Bedrog,Noord-Brabant (PV),2019,140924,140924,15050.0,12.0,6.0,550.0,30.3,730.0
Bedrog,Noord-Brabant (PV),2020,140928,140928,17555.0,14.0,6.799999999999999,420.0,24.8,760.0
Bedrog,Noord-Holland (PV),2010,140756,140756,10420.0,4.0,3.9,3140.0,162.1,4080.0
Bedrog,Noord-Holland (PV),2011,140760,140760,10300.0,4.0,3.8,2615.0,151.5,3760.0
Bedrog,Noord-Holland (PV),2012,140764,140764,11010.0,4.0,4.0,2635.0,146.79999999999998,3405.0
Bedrog,Noord-Holland (PV),2013,140768,140768,8770.0,4.0,3.2,2705.0,174.8,3480.0
Bedrog,Noord-Holland (PV),2014,140772,140772,8070.0,4.0,2.9,2235.0,178.09999999999997,2820.0
Bedrog,Noord-Holland (PV),2015,140776,140776,13930.0,6.0,5.0,1155.0,117.39999999999999,1580.0
Bedrog,Noord-Holland (PV),2016,140780,140780,16140.0,8.0,5.8,530.0,29.2,760.0
Bedrog,Noord-Holland (PV),2017,140784,140784,14315.0,8.0,5.1000000000000005,640.0,31.1,850.0
Bedrog,Noord-Holland (PV),2018,140788,140788,14740.0,9.0,5.199999999999999,440.0,25.9,645.0
Bedrog,Noord-Holland (PV),2019,140792,140792,18440.0,11.0,6.4,500.0,21.3,810.0
Bedrog,Noord-Holland (PV),2020,140796,140796,20945.0,13.0,7.199999999999999,350.0,12.2,770.0
Bedrog,Overijssel (PV),2010,140580,140580,3840.0,6.0,3.3,1540.0,190.20000000000002,1720.0
Bedrog,Overijssel (PV),2011,140584,140584,3840.0,6.0,3.3,1675.0,204.9,1850.0
Bedrog,Overijssel (PV),2012,140588,140588,4030.0,6.0,3.5,1590.0,201.0,1855.0
Bedrog,Overijssel (PV),2013,140592,140592,3075.0,5.0,2.7,1220.0,172.1,1570.0
Bedrog,Overijssel (PV),2014,140596,140596,2540.0,4.0,2.1,840.0,176.8,1060.0
Bedrog,Overijssel (PV),2015,140600,140600,4930.0,10.0,4.3,565.0,126.19999999999999,800.0
Bedrog,Overijssel (PV),2016,140604,140604,6020.0,12.0,5.199999999999999,250.0,46.0,290.0
Bedrog,Overijssel (PV),2017,140608,140608,5130.0,12.0,4.4,280.0,40.9,430.0
Bedrog,Overijssel (PV),2018,140612,140612,5675.0,13.0,5.0,365.0,49.4,430.0
Bedrog,Overijssel (PV),2019,140616,140616,6930.0,16.0,6.0,260.0,34.7,335.0
Bedrog,Overijssel (PV),2020,140620,140620,8055.0,18.0,7.0,170.0,25.2,290.0
Bedrog,Utrecht (PV),2010,140712,140712,3530.0,4.0,2.8,1480.0,183.8,1680.0
Bedrog,Utrecht (PV),2011,140716,140716,3280.0,4.0,2.6,1030.0,153.4,1200.0
Bedrog,Utrecht (PV),2012,140720,140720,3670.0,4.0,3.0,1370.0,183.5,1780.0
Bedrog,Utrecht (PV),2013,140724,140724,2970.0,4.0,2.4,1090.0,188.60000000000002,1320.0
Bedrog,Utrecht (PV),2014,140728,140728,2815.0,4.0,2.2,870.0,181.0,1100.0
Bedrog,Utrecht (PV),2015,140732,140732,5360.0,7.0,4.199999999999999,470.0,109.2,605.0
Bedrog,Utrecht (PV),2016,140736,140736,6800.0,9.0,5.4,340.0,34.8,415.0
Bedrog,Utrecht (PV),2017,140740,140740,6040.0,9.0,4.699999999999999,250.0,36.5,300.0
Bedrog,Utrecht (PV),2018,140744,140744,6210.0,10.0,4.799999999999999,210.0,37.8,270.0
Bedrog,Utrecht (PV),2019,140748,140748,8325.0,12.0,6.199999999999999,160.0,24.6,260.0
Bedrog,Utrecht (PV),2020,140752,140752,9315.0,14.0,6.799999999999999,180.0,17.7,395.0
Bedrog,Zeeland (PV),2010,140844,140844,1225.0,6.0,3.2,415.0,127.4,495.0
Bedrog,Zeeland (PV),2011,140848,140848,1040.0,4.0,2.7,325.0,196.8,405.0
Bedrog,Zeeland (PV),2012,140852,140852,1140.0,6.0,3.0,335.0,146.5,385.0
