Totaal vermogen (miljard euro),Gemiddeld vermogen (1000 euro),Mediaan vermogen (1000 euro),gemeentenaam,politiebureaus,Misdrijven_Totaal
1.2824689798549982,167.83,86.85163636363637,Deventer,16,5892.272727272727
0.37399803043747143,168.82,86.89345454545455,Diemen,23,1699.090909090909
0.7866838598753493,288.16,172.07183015709018,Dinkelland,12,569.0909090909091
0.15275948857344204,124.5,62.19339294891561,Doesburg,15,501.3636363636364
0.9035950857763002,196.0,96.06624860853434,Doetinchem,13,2818.6363636363635
0.48371499953946767,196.0,120.43824598021025,Dongen,9,1025.4545454545455
1.401798237476809,164.36,83.96690909090908,Dordrecht,20,8273.636363636364
0.5319886661073224,260.66,140.8922751450677,Drechterland,3,627.7272727272727
0.6335347669048277,225.1,138.82368869484552,Drimmelen,17,908.6363636363636
0.7098431393834129,200.72,99.24518738404453,Dronten,12,1891.3636363636363
0.3168774353152244,200.31,114.00499529599074,Druten,11,590.9090909090909
0.35897216920855746,183.76,97.5463048855906,Duiven,20,1054.5454545454545
0.6010304411900157,190.23,123.63768166357453,Echt-Susteren,12,1469.090909090909
0.9830007488656887,242.81,161.50465672245687,Edam-Volendam,9,932.2727272727273
2.3221969696969698,225.41,115.21145454545454,Ede,38,5580.909090909091
0.28940103237143405,270.07,159.10460837612,Eemnes,17,334.54545454545456
0.6141502684245845,169.95,92.49038218923933,Eemsdelta,12,608.6363636363636
0.7589255757919596,307.56,184.82621961669508,Eersel,11,817.7272727272727
0.6553786605887835,235.15,150.9983754720457,Eijsden-Margraten,9,915.5
2.99091280148423,169.04,83.8030909090909,Eindhoven,12,21936.363636363636
0.42977315640516806,215.79,124.25581052053317,Elburg,10,765.0
1.1953987881419492,157.14,87.40745454545454,Emmen,5,5224.545454545455
0.27816731141199225,179.22,95.27166821273964,Enkhuizen,1,1094.090909090909
1.6402628256836331,173.63,80.22254545454545,Enschede,10,11807.272727272728
0.9172725956920487,262.99,140.00751391465676,Epe,19,1304.5454545454545
0.720963731801235,280.12,130.2779854011237,Ermelo,8,1361.8181818181818
0.7299319727891156,185.23,108.73283858998144,Etten-Leur,3,2235.4545454545455
0.38037613624206723,210.69,103.5079329991184,Geertruidenberg,5,1014.5454545454545
0.7619674272029896,201.17,113.22724567099567,Geldrop-Mierlo,8,1874.090909090909
0.7099465946920355,232.19,135.91650646719037,Gemert-Bakel,6,1208.6363636363637
0.3586507121929921,227.83,122.65783447808525,Gennep,4,673.6363636363636
0.4823444902307067,192.58,114.8538889491967,Gilze en Rijen,7,1281.8181818181818
1.0391566150469944,221.4,115.90110157699445,Goeree-Overflakkee,7,1482.5
0.7885135037531957,216.35,109.42220547309832,Goes,4,2123.181818181818
0.5211626282840106,218.32,131.5323406393505,Goirle,5,890.9090909090909
2.5185323984526113,343.97,148.43988868274585,Gooise Meren,30,2925.0
0.48855536896756546,187.15,86.00190553494124,Gorinchem,8,2100.0
0.9496366728509585,166.17,85.904,Gouda,11,5349.545454545455
0.21818633309803104,167.39,100.1299722479186,Grave,8,519.0909090909091
2.7932577460496715,173.8,82.23818181818181,Groningen,18,16136.818181818182
0.3485875405301862,214.6,139.8704902867715,Gulpen-Wittem,13,575.9090909090909
0.5186645946046964,223.13,127.99122685824813,Haaksbergen,8,755.4545454545455
2.7412370425926658,181.74,93.7241818181818,Haarlem,22,10341.818181818182
2.87662074829932,208.02,108.68927272727272,Haarlemmermeer,52,11099.545454545454
0.6153090830142502,199.09,125.1237554112554,Halderberge,3,1290.909090909091
0.9668753865182436,195.12,115.68385899814471,Hardenberg,10,2012.7272727272727
0.7041711075145726,187.22,99.44993692022263,Harderwijk,6,2280.909090909091
0.44617889780586356,288.11,129.94447463768117,Hardinxveld-Giessendam,15,500.45454545454544
0.23152852424675652,180.3,93.42814905459282,Harlingen,3,693.6363636363636
0.3291368227731864,268.69,134.86495388669303,Hattem,9,375.90909090909093
